Temperatura;Umidade;Pressao;Velocidade_Vento;Producao_Agua
28.0;66;1011;3.6;7.2
27.5;67;1012;3.5;7.3
29.0;65;1013;3.8;7.0
31.0;60;1011;4.2;6.5
33.0;58;1010;4.5;6.1
28.5;65;1012;3.7;7.0
29.5;63;1013;3.8;6.9
31.0;60;1011;4.1;6.5
27.0;67;1012;3.5;7.3
30.0;62;1010;4.0;6.7
29.5;63;1011;3.8;7.0
28.0;65;1012;3.6;7.2
31.5;60;1010;4.2;6.5
32.0;58;1011;4.4;6.1
29.0;63;1012;3.7;7.0
28.5;64;1010;3.6;7.1
27.0;67;1013;3.5;7.3
31.0;60;1011;4.1;6.5
30.5;61;1012;4.0;6.6
28.0;65;1010;3.7;7.0
29.5;63;1013;3.8;6.9
31.0;60;1011;4.2;6.4
27.5;66;1012;3.5;7.1
30.0;62;1010;4.0;6.7
28.0;65;1011;3.6;7.2
29.5;63;1013;3.8;6.9
31.0;60;1012;4.1;6.5
27.0;66;1010;3.5;7.3
30.0;62;1011;4.0;6.7
29.5;64;1012;3.8;7.0
28.0;65;1010;3.6;7.1
31.0;59;1011;4.2;6.3
30.5;60;1012;4.0;6.6
29.0;62;1011;3.8;6.8
27.5;66;1010;3.5;7.1
31.0;60;1012;4.2;6.5
28.0;65;1011;3.7;7.0
29.5;63;1013;3.8;6.9
30.0;61;1010;4.1;6.7
27.0;67;1011;3.5;7.2
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;64;1010;3.6;7.1
31.5;59;1011;4.3;6.4
29.0;65;1012;3.7;7.0
30.0;61;1010;4.1;6.7
27.5;67;1011;3.5;7.3
31.0;60;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;60;1010;4.2;6.5
29.0;63;1011;3.8;6.9
30.5;61;1012;4.1;6.6
28.0;64;1010;3.7;7.0
31.0;59;1011;4.2;6.4
29.5;63;1012;3.8;6.9
30.0;62;1010;4.0;6.6
27.5;66;1011;3.5;7.2
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.1;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;65;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;66;1011;3.6;7.0
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;64;1010;3.6;7.1
31.5;59;1011;4.3;6.4
29.0;65;1012;3.7;7.0
30.0;61;1010;4.1;6.7
28.5;66;1011;3.6;7.2
31.0;59;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;60;1011;4.0;6.6
28.0;65;1012;3.7;7.0
31.0;58;1010;4.3;6.3
29.5;64;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.5;65;1010;3.7;7.0
31.5;59;1011;4.2;6.5
29.0;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;66;1011;3.6;7.1
31.0;60;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;61;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;58;1010;4.3;6.3
29.0;65;1011;3.7;7.0
30.0;62;1012;4.0;6.7
28.0;66;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.5;65;1011;3.7;7.0
31.0;59;1012;4.2;6.5
29.0;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;58;1010;4.3;6.3
29.0;65;1011;3.7;7.0
30.0;61;1012;4.0;6.6
28.0;66;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.5;64;1011;3.7;7.0
31.0;59;1012;4.2;6.5
29.0;65;1010;3.7;7.0
30.0;62;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;59;1010;4.3;6.3
29.0;63;1011;3.8;6.9
30.0;62;1012;4.0;6.6
28.5;65;1010;3.7;7.0
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;65;1011;3.6;7.0
31.0;59;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
